ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
pattani,,56,ptt,lae,{},32.75,76.75,Eurasia,,Pattani,1951,False,False
pengo,,282,pen,peg,{},19.8333333333,83.8333333333,Eurasia,,Pengo,1885,False,False
purki,,56,prk,prx,{},34.6666666667,76.0,Eurasia,,Purki,1937,False,False
raji,,485,rji,rji,{},28.0,82.75,Eurasia,,Raji,2003,False,False
ralte,,33,ral,ral,{},23.75,92.75,Eurasia,,Ralte,1981,False,False
remo,,129,rem,bfw,{},18.0,82.0,Eurasia,,Remo,1992,False,False
santali,,129,stl,sat,{},24.5,87.0,Eurasia,,Santali,2172,False,False
sema,,33,sem,nsm,{},26.0,94.5,Eurasia,,Sema,2063,False,False
shekhawati,,84,skw,swv,{},28.0,75.5,Eurasia,,Shekhawati,2110,False,False
sherdukpen,,127,shd,sdp,{},27.0,92.5,Eurasia,,Sherdukpen,2076,False,False
shompen,,501,smp,,{},7.0,93.75,Eurasia,,Shompen,2125,False,False
sikkimese,,56,skk,sip,{},27.8333333333,88.5,Eurasia,,Sikkimese,2103,False,False
sindhi,,84,sdh,snd,{},26.0,69.0,Eurasia,,Sindhi,2055,False,False
sora,,129,sor,srb,{},20.0,84.3333333333,Eurasia,,Sora,2144,False,False
spitian,,56,spi,bod,{},32.25,78.0,Eurasia,,Spitian,2148,False,False
sulung,,500,slg,suv,{},28.3333333333,93.25,Eurasia,,Sulung,2114,False,False
tamil,,116,tml,tam,{},11.0,78.5,Eurasia,,Tamil,2303,False,False
tamil spoken,,116,tsp,tam,{},11.0,78.0,Eurasia,,Tamil (Spoken),2372,False,False
tarao,,33,tao,tro,{},24.25,94.1666666667,Eurasia,,Tarao,2211,False,False
telugu,,282,tel,tel,{},16.0,79.0,Eurasia,,Telugu,2238,False,False
thadou,,33,thd,tcz,{},24.4166666667,93.9166666667,Eurasia,,Thadou,2259,False,False
tinani,,56,tni,lbf,{},32.3333333333,77.1666666667,Eurasia,,Tinani,2317,False,False
tod,,56,tod,sbu,{},32.4166666667,77.25,Eurasia,,Tod,2328,False,False
toda,,116,tda,tcx,{},11.4166666667,76.75,Eurasia,,Toda,2232,False,False
tshangla,,56,tgl,tsj,{},27.8333333333,92.1666666667,Eurasia,,Tshangla,2252,False,False
tulu,,116,tul,tcy,{},12.75,75.3333333333,Eurasia,,Tulu,2390,False,False
tutsa,,188,tvt,tvt,{},27.5,96.5,Eurasia,,Tutsa,2401,False,False
vasavi,,84,vas,vas,{},24.5,71.5,Eurasia,,Vasavi,2453,False,False
